"topic","term","beta"
1,"7th",7.1467419309977e-16
2,"7th",2.24406413910233e-15
3,"7th",8.01386280407752e-15
4,"7th",1.269532196039e-13
5,"7th",1.48880626314684e-14
6,"7th",7.69111183453369e-15
7,"7th",1.30840723379958e-13
8,"7th",5.08559908016632e-14
9,"7th",3.24632368287846e-15
10,"7th",1.9535026590511e-14
11,"7th",4.49184032696961e-15
12,"7th",7.02740875692949e-15
13,"7th",7.10574216065347e-15
14,"7th",7.27549309965154e-15
15,"7th",6.29565874047996e-17
16,"7th",1.83542327325967e-13
17,"7th",7.96596530758856e-14
18,"7th",3.5758287510171e-14
19,"7th",6.72837397984847e-15
20,"7th",4.13437005984606e-14
21,"7th",1.92062837803831e-15
22,"7th",2.55233022619483e-14
23,"7th",5.7489854037507e-15
24,"7th",3.04223816505801e-15
25,"7th",2.21736966053805e-17
26,"7th",0.00287631295583271
27,"7th",4.57821775183379e-14
28,"7th",3.74878504035993e-15
29,"7th",6.33874884019829e-14
30,"7th",3.83388238021712e-13
1,"abdul",2.8575470717801e-11
2,"abdul",2.7175343059558e-10
3,"abdul",1.04838714892423e-10
4,"abdul",3.82764104671963e-12
5,"abdul",2.296868497582e-11
6,"abdul",1.94663990986336e-10
7,"abdul",7.25301553673123e-11
8,"abdul",1.7954132052571e-10
9,"abdul",5.61235858371377e-11
10,"abdul",1.15534408113761e-10
11,"abdul",6.08964654567357e-11
12,"abdul",6.9550414057145e-12
13,"abdul",2.2926832004314e-10
14,"abdul",5.41616917228844e-10
15,"abdul",2.17784326376333e-11
16,"abdul",5.68297056198722e-11
17,"abdul",1.13999761484761e-09
18,"abdul",4.21149196983632e-11
19,"abdul",1.2950747507689e-11
20,"abdul",2.9215151305963e-11
21,"abdul",1.28865105241074e-10
22,"abdul",8.67990456912084e-10
23,"abdul",1.45538264862909e-10
24,"abdul",4.70122219126855e-11
25,"abdul",3.99580563113755e-12
26,"abdul",2.49103476015474e-12
27,"abdul",0.00303706047678459
28,"abdul",5.32066445125463e-07
29,"abdul",1.30781702977991e-10
30,"abdul",2.25854005942783e-10
1,"abedin",1.08665565054969e-12
2,"abedin",3.25513424519546e-12
3,"abedin",7.32921113257632e-12
4,"abedin",3.47187070400322e-13
5,"abedin",1.85425012124086e-12
6,"abedin",2.75143354631721e-12
7,"abedin",8.00514587884116e-14
8,"abedin",2.84450412772601e-13
9,"abedin",2.14261778971532e-12
10,"abedin",1.88167101446704e-12
11,"abedin",6.63978966864873e-13
12,"abedin",3.19572949263557e-13
13,"abedin",1.07132248124288e-12
14,"abedin",9.69446719392894e-12
15,"abedin",1.25145045304476e-12
16,"abedin",2.23286201771112e-12
17,"abedin",1.22375815102369e-10
18,"abedin",1.93119242114179e-12
19,"abedin",4.82615751484166e-13
20,"abedin",1.98879371981418e-14
21,"abedin",1.56357045765925e-12
22,"abedin",2.3677846373821e-11
23,"abedin",6.1653264681978e-12
24,"abedin",2.54385075967428e-12
25,"abedin",6.16837336634057e-14
26,"abedin",0.00479385473178893
27,"abedin",3.30603371972957e-12
28,"abedin",1.32259005500198e-13
29,"abedin",1.04872520809844e-12
30,"abedin",7.54406155072148e-12
1,"abortion",0.00015531439778288
2,"abortion",0.00227106002104318
3,"abortion",1.76710033811283e-06
4,"abortion",1.04099427927418e-05
5,"abortion",8.76347098423471e-06
6,"abortion",4.76415483485488e-05
7,"abortion",1.32094912675338e-05
8,"abortion",3.52836085666025e-05
9,"abortion",3.11396845629464e-07
10,"abortion",0.00112665639390725
11,"abortion",4.86014441034642e-07
12,"abortion",1.18249217631155e-05
13,"abortion",1.45341827259017e-05
14,"abortion",0.000485348628310101
15,"abortion",3.63041569007487e-06
16,"abortion",5.15869497578421e-05
17,"abortion",6.42436360304765e-07
18,"abortion",1.91039043046337e-06
19,"abortion",3.2566505887897e-06
20,"abortion",1.75025764434588e-05
21,"abortion",3.47727579571122e-05
22,"abortion",1.2643212796815e-05
23,"abortion",3.82788719705922e-05
24,"abortion",1.91014256095533e-06
25,"abortion",2.35760413841549e-07
26,"abortion",2.61497990424078e-08
27,"abortion",2.33131751459027e-05
28,"abortion",1.17071183224024e-05
29,"abortion",3.20048853999407e-06
30,"abortion",3.59084647013067e-06
1,"absolutely",3.30316583365608e-08
