"topic","term","beta"
1,"7th",0.00108643659652379
2,"7th",4.10184943136906e-05
3,"7th",1.12701178384016e-05
4,"7th",2.33797911990384e-05
5,"7th",3.68685674587472e-05
6,"7th",2.05530392932347e-06
7,"7th",2.30647584477611e-05
8,"7th",5.31518729971262e-05
9,"7th",6.77879498103511e-06
10,"7th",9.08358626613686e-06
11,"7th",4.57363944695925e-07
12,"7th",1.40630093398789e-05
13,"7th",5.76806397207594e-05
14,"7th",8.05671978774106e-05
15,"7th",6.16990203238304e-05
1,"abdul",0.00142778499491669
2,"abdul",4.96093166105546e-06
3,"abdul",6.37734637331607e-06
4,"abdul",1.48330982066689e-05
5,"abdul",5.0239987420046e-06
6,"abdul",6.91915381656261e-06
7,"abdul",3.83167160246488e-06
8,"abdul",4.59791826714539e-06
9,"abdul",2.41210015413103e-06
10,"abdul",1.21573816401911e-06
11,"abdul",5.27538104398505e-06
12,"abdul",1.03426446489933e-05
13,"abdul",1.61508401531599e-06
14,"abdul",4.16994292229e-06
15,"abdul",8.37460063274967e-06
1,"abedin",0.00141826979941751
2,"abedin",2.86124275294592e-05
3,"abedin",0.000196637108066273
4,"abedin",2.33522591488924e-05
5,"abedin",0.000272675548738447
6,"abedin",2.51147721933416e-05
7,"abedin",0.000106881712326588
8,"abedin",0.000132654495087952
9,"abedin",2.97793001060987e-05
10,"abedin",3.66007357280329e-05
11,"abedin",2.7357718151604e-05
12,"abedin",2.73214480348082e-05
13,"abedin",5.85717507264195e-05
14,"abedin",0.000108117447197312
15,"abedin",2.09140782781445e-05
1,"abortion",7.58270224105473e-05
2,"abortion",7.80942750345685e-05
3,"abortion",3.13237065368219e-05
4,"abortion",1.02617822016293e-06
5,"abortion",0.000445317572627983
6,"abortion",0.000869696664404392
7,"abortion",3.39925763986134e-05
8,"abortion",0.000106367884214889
9,"abortion",6.07452636482386e-06
10,"abortion",1.34568830392293e-05
11,"abortion",8.5915780315485e-06
12,"abortion",1.33499494425271e-05
13,"abortion",0.000200482805602333
14,"abortion",0.0001705278841788
15,"abortion",0.000126132248887412
1,"absolutely",0.000238019449230879
2,"absolutely",1.46134697552229e-05
3,"absolutely",6.22876872594233e-06
4,"absolutely",6.03399562826783e-05
5,"absolutely",1.42540987827625e-05
6,"absolutely",4.33451287776008e-05
7,"absolutely",5.56524667959819e-05
8,"absolutely",3.22302021700518e-05
9,"absolutely",2.16875940168795e-05
10,"absolutely",5.03318244816418e-05
11,"absolutely",6.37491325444541e-05
12,"absolutely",9.37013742507586e-05
13,"absolutely",6.44532694551718e-05
14,"absolutely",3.28693874611875e-05
15,"absolutely",4.52714484869325e-05
1,"accuse",0.000606429007126061
2,"accuse",0.00010174534177201
3,"accuse",0.000134936128348414
4,"accuse",8.21540420481033e-05
5,"accuse",1.9651180582039e-05
6,"accuse",2.94035841830511e-05
7,"accuse",2.4811550297898e-05
8,"accuse",8.52198199716531e-05
9,"accuse",2.54442154580953e-05
10,"accuse",9.01197631655334e-06
11,"accuse",0.000312099859132111
12,"accuse",0.000301171502844217
13,"accuse",0.000494196545220645
14,"accuse",5.40814029462024e-05
15,"accuse",6.21773921643498e-05
1,"accuser",0.00018541115695943
2,"accuser",9.44242465411935e-05
3,"accuser",6.51473996073298e-05
4,"accuser",3.57722854348558e-05
5,"accuser",9.5407726268623e-05
6,"accuser",3.23340928100211e-06
7,"accuser",8.84091199609226e-05
8,"accuser",0.000138267839433941
9,"accuser",1.04455085984528e-05
10,"accuser",7.95349113380091e-06
11,"accuser",2.18737505450662e-05
12,"accuser",6.70791686241874e-05
13,"accuser",0.0003431506131646
14,"accuser",1.28336447104996e-06
15,"accuser",1.40877103006703e-05
1,"achmed",1.24569128041454e-05
2,"achmed",1.85656741350138e-05
3,"achmed",1.72039199385118e-05
4,"achmed",7.5154503567119e-06
5,"achmed",8.97682048224617e-07
6,"achmed",4.19031195710679e-05
7,"achmed",5.30916108873239e-08
8,"achmed",5.31167367827476e-06
9,"achmed",1.33596293332632e-06
10,"achmed",0.00114654359271339
11,"achmed",5.3569269149033e-06
12,"achmed",5.06632504165227e-05
13,"achmed",2.05929586059995e-05
14,"achmed",2.54796072525656e-06
15,"achmed",2.74464630572228e-06
1,"act",1.75115587394372e-05
2,"act",0.000137566165023691
3,"act",0.000465586637035844
4,"act",0.000307097990364686
5,"act",0.000171424201159424
6,"act",0.00030505946642431
7,"act",0.000312854070806666
8,"act",0.000253346530469251
9,"act",0.000265992603040258
10,"act",0.00124374135252848
11,"act",0.000190053000092052
12,"act",7.90480599626112e-05
13,"act",1.09748372276372e-05
14,"act",1.6135873903777e-05
15,"act",0.00023395269776012
1,"action",0.000169706335642052
2,"action",0.000319191420278701
3,"action",0.00110248501314081
4,"action",4.85565557237658e-05
5,"action",0.000187261327746141
6,"action",0.000142067388099452
7,"action",0.000112293104899609
8,"action",2.95191986530394e-06
9,"action",0.000154427439926107
10,"action",0.000133762632412275
11,"action",0.00025347076926781
12,"action",6.97572514550064e-07
13,"action",1.62761478258567e-05
14,"action",0.000820180658796386
15,"action",5.32901647443669e-05
1,"ad",4.40296804724578e-06
2,"ad",6.67441464676661e-05
3,"ad",2.06447357915877e-05
4,"ad",6.45323739737337e-05
5,"ad",9.33523022024061e-06
6,"ad",4.19905340573007e-05
7,"ad",6.31309402189838e-05
8,"ad",2.03463291836185e-05
9,"ad",1.22112058218498e-05
10,"ad",1.79541281735725e-05
11,"ad",0.000109482290719829
12,"ad",0.000191189192500292
13,"ad",3.14670386618394e-05
14,"ad",1.31217489204485e-05
15,"ad",3.08997800577579e-06
1,"adam",4.24540726070168e-05
2,"adam",0.000135661014465368
3,"adam",0.000370362042084017
4,"adam",0.000122254194232136
5,"adam",1.21597854979245e-06
6,"adam",3.70304917209419e-05
7,"adam",3.75818221032089e-05
8,"adam",2.80427840076999e-05
9,"adam",4.86748150325053e-06
10,"adam",1.17665437900813e-05
11,"adam",7.74031458748348e-05
12,"adam",1.18175678064786e-05
13,"adam",1.88497641205367e-06
14,"adam",0.000618492820366264
15,"adam",8.4641189334344e-06
1,"adel",2.80387105921756e-06
2,"adel",2.30228102458998e-06
3,"adel",1.78594488441476e-06
4,"adel",3.69665644155765e-06
5,"adel",3.25116717379597e-06
6,"adel",2.68733400290838e-06
7,"adel",2.64107230599222e-06
8,"adel",3.18958083698972e-07
9,"adel",7.06856532888037e-07
10,"adel",2.29711297066472e-06
11,"adel",6.90271114343008e-07
12,"adel",0.000114772492738722
13,"adel",2.2785678601772e-05
14,"adel",2.37774426894721e-06
15,"adel",3.91275323991591e-06
1,"adelson",1.51322278657304e-05
2,"adelson",0.00024119369387299
3,"adelson",0.000198700873088928
4,"adelson",0.000120242947542388
5,"adelson",0.000103935585054143
6,"adelson",6.41224803227087e-05
7,"adelson",0.000126514585923313
8,"adelson",0.000300193503034458
9,"adelson",3.40651531164257e-05
10,"adelson",0.000109081559814576
11,"adelson",1.33115793479987e-05
12,"adelson",6.39039096441416e-05
13,"adelson",2.9322116272421e-05
14,"adelson",0.00025497850736748
15,"adelson",0.000168327435972881
1,"administration",0.00251232207839046
2,"administration",0.00113663813923886
3,"administration",0.000552698205830451
4,"administration",0.000339136021043333
5,"administration",0.00140123257393181
6,"administration",0.0010204853575942
7,"administration",0.000546456587640768
8,"administration",2.36813511076124e-05
9,"administration",0.000277507619742006
10,"administration",0.000295115737572937
11,"administration",0.0032568971426087
12,"administration",0.000994492050188481
13,"administration",0.00113690771587862
14,"administration",0.000740273761586183
15,"administration",0.00116760419329485
1,"affordable",2.37023780387688e-06
2,"affordable",5.04079854955877e-07
3,"affordable",5.8335365719651e-06
4,"affordable",8.46502087797786e-07
5,"affordable",5.35925847549679e-07
6,"affordable",0.00181542463185935
7,"affordable",1.39316812637984e-06
8,"affordable",2.16548533192288e-06
9,"affordable",3.26190891070887e-08
10,"affordable",1.4623176366627e-05
11,"affordable",1.13873121711801e-06
12,"affordable",1.12591871682449e-06
13,"affordable",8.06165864540301e-07
14,"affordable",1.93478256743982e-07
15,"affordable",1.8112107659641e-06
1,"afghanistan",0.000375659872860397
2,"afghanistan",0.000179471374925887
3,"afghanistan",7.10200151555679e-05
4,"afghanistan",0.000147960358956332
5,"afghanistan",0.000519706701532379
6,"afghanistan",0.000209152585333479
7,"afghanistan",7.07808016243164e-05
8,"afghanistan",0.000311138755701875
9,"afghanistan",1.850720832483e-06
10,"afghanistan",5.08413484277553e-05
11,"afghanistan",5.79829872075324e-05
12,"afghanistan",4.65760540448525e-05
13,"afghanistan",0.000219550637533879
14,"afghanistan",0.000218927493124295
15,"afghanistan",3.40888873782662e-05
1,"african",0.000234634801661119
2,"african",0.000261248291139964
3,"african",0.000135538962243838
4,"african",0.00253276242796323
5,"african",4.3956559469617e-05
6,"african",0.000171533171755837
7,"african",0.000227302090040848
8,"african",0.000179590345427474
9,"african",0.000706357449329252
10,"african",0.000603373263301427
11,"african",0.000993771877281459
12,"african",0.000212062853902895
13,"african",0.000284530522336173
14,"african",2.05395976485365e-05
15,"african",0.000912972980050915
1,"agendum",9.53831453660273e-11
2,"agendum",2.19517416305644e-10
3,"agendum",6.15977314230714e-10
4,"agendum",7.3268576189834e-12
5,"agendum",1.98726634020413e-10
6,"agendum",1.87699675787553e-10
7,"agendum",2.03546365085525e-10
8,"agendum",1.341723785187e-10
9,"agendum",1.57763693542876e-11
10,"agendum",1.22419207425022e-11
11,"agendum",0.00268061547996868
12,"agendum",3.33465420499578e-11
13,"agendum",1.17862403551196e-09
14,"agendum",3.2130475507245e-11
15,"agendum",1.64710749608618e-10
1,"ago",0.00297244723693788
2,"ago",0.00151869807702479
3,"ago",8.84994187929496e-05
4,"ago",0.000290610930358642
5,"ago",0.00130483194009125
6,"ago",0.00111880722084141
7,"ago",0.000971928116211084
8,"ago",0.000168386840321084
9,"ago",1.30283975516675e-05
10,"ago",0.00189059750985089
11,"ago",0.000311003613144527
12,"ago",0.000287378872679026
13,"ago",0.000641390451800971
14,"ago",1.01470789471312e-05
15,"ago",0.000136020289867265
1,"agree",0.00011704732716658
2,"agree",7.72521408649572e-05
3,"agree",0.000189436632960299
4,"agree",0.00039657520705899
5,"agree",0.000788723744030617
6,"agree",4.04841729686186e-05
7,"agree",0.000635380030460914
8,"agree",3.72179732523858e-05
9,"agree",6.12201843789214e-06
10,"agree",1.64883054092966e-06
11,"agree",0.000398999146881532
12,"agree",0.000563400308109872
13,"agree",0.000170522823858719
14,"agree",0.000148167266857143
15,"agree",0.000113937784852128
1,"agreement",0.000325669272034259
2,"agreement",3.96757315455063e-06
3,"agreement",0.000374662795009046
4,"agreement",0.000578548179456238
5,"agreement",0.0010735587511015
6,"agreement",0.00094565186326542
7,"agreement",0.0011542938903224
8,"agreement",0.00118758251325388
9,"agreement",0.000178986162570947
10,"agreement",0.000420549577131982
11,"agreement",0.000412809766803901
12,"agreement",0.000632804912010693
13,"agreement",6.61440679868493e-05
14,"agreement",0.000316410142686748
15,"agreement",0.000537710691528826
1,"airport",0.000126814228813399
2,"airport",0.000274029640563847
3,"airport",7.90638373882753e-06
4,"airport",8.18532932701488e-05
5,"airport",7.2169565625294e-06
6,"airport",0.00023998354482348
7,"airport",0.000676020788946724
8,"airport",1.23091258849605e-05
9,"airport",0.000142200699394712
10,"airport",5.30365486008889e-05
11,"airport",5.43910042110514e-05
12,"airport",7.72255505603385e-05
13,"airport",5.39231256976439e-05
14,"airport",3.20228432823468e-05
15,"airport",4.44884450773386e-06
1,"al",0.000638508564689644
2,"al",0.000666804820019876
3,"al",0.00125468387393292
4,"al",0.0033567356456313
5,"al",0.000118105320030145
6,"al",0.00227272646631542
7,"al",0.000247634293445914
8,"al",2.54867060333971e-05
9,"al",7.70531165217345e-05
10,"al",0.000369002634369987
11,"al",9.19224340983693e-05
12,"al",0.00119728976489058
13,"al",0.000318216582296561
14,"al",0.00124130482756675
15,"al",0.000522592323196175
1,"alabama",0.000168592205185246
2,"alabama",0.00014943315080405
3,"alabama",3.42215146015045e-05
4,"alabama",0.000167816116561318
5,"alabama",1.94707237474847e-05
6,"alabama",1.82651155992165e-05
7,"alabama",4.37798590694192e-05
8,"alabama",8.25018624766525e-05
9,"alabama",2.33045215058542e-05
10,"alabama",1.95563689154705e-05
11,"alabama",0.000133365798476433
12,"alabama",0.00997298676521216
13,"alabama",1.09121192187474e-05
14,"alabama",8.03517014552906e-05
15,"alabama",0.000596987456083166
1,"alex",7.05501071690745e-05
2,"alex",0.000301275251561775
3,"alex",0.000466327102992379
4,"alex",0.000135392707155127
5,"alex",0.000761904146694606
6,"alex",8.23150621139479e-05
7,"alex",0.0001908782018169
8,"alex",4.48358647912987e-07
9,"alex",1.7070458621617e-05
10,"alex",0.000253125845211022
11,"alex",6.86242699085431e-07
12,"alex",2.93737132318072e-05
13,"alex",0.000205467265494705
14,"alex",0.000136367553908387
15,"alex",2.80548818755116e-05
1,"ali",0.000320308818065977
2,"ali",3.08007350005608e-05
3,"ali",4.90178024262078e-06
4,"ali",3.57518104945848e-05
5,"ali",3.94604493303606e-05
6,"ali",0.000451666191369917
7,"ali",0.0010051036668461
8,"ali",0.000186706545617636
9,"ali",0.000112029503893896
10,"ali",0.000291876239859658
11,"ali",1.75861275432414e-05
12,"ali",0.000849079485313687
13,"ali",0.000145657696635357
14,"ali",6.46129085584431e-05
15,"ali",0.000127637053160527
1,"allegation",0.00022609063934937
2,"allegation",0.000404959926374147
3,"allegation",0.00161999178924581
4,"allegation",0.000975424482291081
5,"allegation",0.000121478048102215
6,"allegation",0.000291325211362377
7,"allegation",7.14214352320366e-05
8,"allegation",0.000631528073231249
9,"allegation",0.000379640601899227
10,"allegation",5.36398940382942e-05
11,"allegation",0.00166857839427796
12,"allegation",0.00214281061510499
13,"allegation",0.000706346550526763
14,"allegation",6.95823217766383e-05
15,"allegation",0.000171761190949547
1,"america",0.00100821563415863
2,"america",0.00345294856243804
3,"america",5.25179673471926e-05
4,"america",0.000571102334268913
5,"america",0.000131293313440946
6,"america",0.00327401364331561
7,"america",0.00747532887720907
8,"america",0.00115152243808793
9,"america",0.0066732093429658
10,"america",0.00713326304870491
11,"america",0.00118496287659502
12,"america",0.00950579842456979
13,"america",0.00483749544993717
14,"america",0.000445223798941051
15,"america",0.0028600427935897
1,"american",0.00229249836146592
2,"american",0.000452394777737043
3,"american",0.0146609671197018
4,"american",0.0391529558452833
5,"american",0.00435559597043122
6,"american",0.0014732923671594
7,"american",0.0309753945827141
8,"american",0.0079062509387269
9,"american",0.021278541370308
10,"american",0.0140729353703029
11,"american",0.0073902402201863
12,"american",0.0128289925759449
13,"american",0.00885395860674992
14,"american",0.00768068047263904
15,"american",0.0114831809454603
1,"amnesty",1.30608150015897e-05
2,"amnesty",1.66436021997972e-05
3,"amnesty",8.24541493083019e-05
4,"amnesty",4.21302091588427e-05
5,"amnesty",8.98448327237614e-06
6,"amnesty",4.46055092036358e-06
7,"amnesty",3.44331851580269e-05
8,"amnesty",2.75851400033344e-05
9,"amnesty",0.0012034072439216
10,"amnesty",3.32371158622624e-06
11,"amnesty",2.14573107094462e-06
12,"amnesty",1.02763106098616e-05
13,"amnesty",9.27297091130455e-06
14,"amnesty",7.85708952930744e-06
15,"amnesty",2.28097609178697e-05
1,"amtrak",0.000116875261617438
2,"amtrak",2.3992633274587e-05
3,"amtrak",0.000263839380530813
4,"amtrak",5.55667872539897e-05
5,"amtrak",0.000157493076059245
6,"amtrak",5.04322386636629e-05
7,"amtrak",6.49087827444206e-05
8,"amtrak",8.70629155607774e-06
9,"amtrak",4.99954948497086e-05
10,"amtrak",0.000307105423198986
11,"amtrak",0.000284506447792911
12,"amtrak",0.000758824516595808
13,"amtrak",7.65824671121631e-05
14,"amtrak",8.90722025726051e-05
15,"amtrak",3.21998990693324e-05
1,"amy",7.94160728282464e-09
2,"amy",7.07736114453699e-09
3,"amy",6.1137642636236e-07
4,"amy",1.24221248645955e-08
5,"amy",3.6455955475652e-08
6,"amy",1.7426439110438e-07
7,"amy",3.5964655128828e-09
8,"amy",1.53380594208107e-07
9,"amy",1.51307281167592e-06
10,"amy",1.39839679358953e-07
11,"amy",4.95624045698817e-07
12,"amy",0.000497436407361926
13,"amy",5.84217326281529e-08
14,"amy",5.20381665490862e-08
15,"amy",1.32077740133571e-07
1,"andrea",7.46058944300315e-05
2,"andrea",4.34804709878092e-05
3,"andrea",4.59583364078636e-05
4,"andrea",0.000110732718742166
5,"andrea",7.83158612315756e-05
6,"andrea",5.91933556062046e-05
7,"andrea",4.1250803843279e-05
8,"andrea",5.43953978056272e-06
9,"andrea",9.53303850159432e-05
10,"andrea",5.4287597397248e-06
11,"andrea",0.000124144223248539
12,"andrea",0.000360919273029714
13,"andrea",4.46006055334667e-05
14,"andrea",1.53468715424522e-05
15,"andrea",6.50848605078479e-05
1,"anger",0.000114676347659287
2,"anger",5.51643195629415e-05
3,"anger",7.46425624133214e-05
4,"anger",1.30143368591355e-05
5,"anger",0.000124777108788331
6,"anger",4.78105840158131e-05
7,"anger",0.000131980691292971
8,"anger",0.00028228383828059
9,"anger",1.13889885684017e-05
10,"anger",6.24314409405276e-06
11,"anger",4.7388523582414e-05
12,"anger",0.000212507539588667
13,"anger",3.97346129399326e-06
