dates,clean_date
"Meet the Press - February 4, 2018",2/4/2018
"Meet the Press -January 28, 2018",1/28/2018
"Meet the Press -January 21, 2018",1/21/2018
"Meet the Press - January 14, 2018",1/14/2018
"Meet the Press -January 7, 2018",1/7/2018
"Meet the Press - December 31, 2017",12/31/2017
"Meet the Press - December 24, 2017",12/24/2017
"Meet the Press - December 17, 2017",12/17/2017
"Meet the Press - December 10, 2017",12/10/2017
"Meet the Press - December 3, 2017",12/3/2017
"Meet the Press - November 26, 2017",11/26/2017
"Meet the Press - November 19, 2017",11/19/2017
"Meet the Press - November 12, 2017",11/12/2017
"Meet the Press - November 5, 2017",11/5/2017
"Meet the Press - October 29, 2017",10/29/2017
"Meet the Press - October 15, 2017",10/15/2017
"Meet the Press <U+0097> October 8, 2017",10/8/2017
"Meet the Press - October 1, 2017",10/1/2017
"Meet the Press - September 24, 2017",9/24/2017
"Meet the Press - September 17, 2017",9/17/2017
"Meet the Press - September 3, 2017",9/3/2017
"Meet the Press - August 27, 2017",8/27/2017
"Meet the Press - August 20, 2017",8/20/2017
"Meet the Press - August 13, 2017",8/13/2017
"Meet the Press - August 6, 2017",8/6/2017
"Meet the Press - July 30, 2017",7/30/2017
"Meet the Press - July 16, 2017",7/16/2017
"Meet the Press - July 9, 2017",7/9/2017
"Meet the Press - June 25, 2017",6/25/2017
"Meet the Press - June 18, 2017",6/18/2017
"Meet the Press - June 4, 2017",6/4/2017
"Meet the Press - May 28, 2017",5/28/2017
"Meet the Press - May 14, 2017",5/14/2017
"Meet the Press - May 7, 2017",5/7/2017
"Meet the Press - April 30, 2017",4/30/2017
"Meet the Press - April 23, 2017",4/23/2017
"Meet the Press - April 16, 2017",4/16/2017
"Meet the Press - April 9, 2017",4/9/2017
"Meet the Press - April 2, 2017",4/2/2017
Meet The Press 03-26-17,3/26/2017
Meet The Press 03-19-17,3/19/2017
Meet The Press 03-12-17,3/12/2017
Meet The Press 03-05-17,3/5/2017
Meet The Press 02-26-17,2/26/2017
Meet The Press 02-19-17,2/19/2017
Meet The Press 02-12-17,2/12/2017
Meet The Press 02-05-17,2/5/2017
Meet The Press 01-29-17,1/29/2017
Meet The Press 01/22/17,1/22/2017
Meet The Press 01/15/17,1/15/2017
"Meet the Press - January 8, 2017",1/8/2017
Meet The Press 01-01-17,1/1/2017
Meet the Press 12/25/16,12/25/2016
Meet The Press 12/18/2016,12/18/2016
Meet The Press 12/11/16,12/11/2016
MEET THE PRESS 12/04/16,12/4/2016
"Meet The Press November 27,2016",11/27/2016
"Meet the Press - November 20, 2016",11/20/2016
"Meet the Press - November 13, 2016",11/13/2016
"Meet the Press - November 6, 2016",11/6/2016
"Meet the Press - October 30, 2016",10/30/2016
"Meet the Press - October 23, 2016",10/23/2016
"Meet the Press - October 16, 2016",10/16/2016
"Meet the Press - October 9, 2016",10/9/2016
"Meet the Press - October 2, 2016",10/2/2016
"Meet the Press - September 25, 2016",9/25/2016
"Meet the Press - September 18, 2016",9/18/2016
"Meet the Press-Sept. 11, 2016",9/11/2016
"Meet the Press - September 4, 2016",9/4/2016
"Meet the Press - August 28, 2016",8/28/2016
"Meet the Press - August 7, 2016",8/7/2016
"Meet the Press - July 31, 2016",7/31/2016
"Meet the Press - July 24, 2016",7/24/2016
"Meet the Press - July 17, 2016",7/17/2016
"Meet the Press - July 10, 2016",7/10/2016
"Meet the Press - July 3, 2016",7/3/2016
"Meet the Press - June 26, 2016",6/26/2016
"Meet the Press - June 19, 2016",6/19/2016
"Meet the Press - June 12, 2016",6/12/2016
"Meet the Press - June 5, 2016",6/5/2016
"Meet the Press - May 29, 2016",5/29/2016
"Meet the Press - May 22, 2016",5/22/2016
"Meet the Press - May 8, 2016",5/8/2016
"Meet the Press - May 1, 2016",5/1/2016
"Meet the Press - April 24, 2016",4/24/2016
"Meet the Press - April 17, 2016",4/17/2016
"Meet the Press - April 10, 2016",4/10/2016
"Meet the Press - April 3, 2016",4/3/2016
"Meet the Press - March 27, 2016",3/27/2016
"Meet the Press - March 20, 2016",3/20/2016
"Meet the Press - March 13, 2016",3/13/2016
"Meet the Press - February 28, 2016",2/28/2016
"Meet the Press - February 21, 2016",2/21/2016
"Meet the Press - February 14, 2016",2/14/2016
"Meet the Press - February 7, 2016",2/7/2016
"Meet the Press - January 31, 2016",1/31/2016
"Meet the Press - January 24, 2016",1/24/2016
"Meet the Press - January 17, 2016",1/17/2016
"Meet the Press - January 10, 2016",1/10/2016
"Meet the Press - January 3, 2016",1/3/2016
"Meet the Press - December 27, 2015",12/27/2015
"Meet the Press - December 20, 2015",12/20/2015
"Meet the Press - December 13, 2015",12/13/2015
"Meet the Press - December 6, 2015",12/6/2015
"Meet the Press - November 29, 2015",11/29/2015
"Meet the Press - November 22, 2015",11/22/2015
"Meet the Press - November 15, 2015",11/15/2015
"Meet the Press Transcript - November 8, 2015",11/8/2015
"Meet the Press Transcript - November 1, 2015",11/1/2015
"Meet the Press - October 25, 2015",10/25/2015
"Meet the Press Transcript - October 18, 2015",10/18/2015
"Meet the Press Transcript - October 11, 2015",10/11/2015
"Meet the Press Transcript - October 4, 2015",10/4/2015
"Meet the Press Transcript - September 27, 2015",9/27/2015
"Meet the Press Transcript - September 20, 2015",9/20/2015
"Meet the Press Transcript - September 13, 2015",9/13/2015
"Meet the Press Transcript - August 30, 2015",8/30/2015
"Meet the Press Transcript - August 23, 2015",8/23/2015
"Meet the Press Transcript - August 16, 2015",8/16/2015
"Meet the Press Transcript - August 9, 2015",8/9/2015
"Meet the Press Transcript - July 26, 2015",7/26/2015
"Meet the Press Transcript - July 19, 2015",7/19/2015
"Meet the Press Transcript - July 12, 2015",7/12/2015
"Meet the Press Transcript - July 5, 2015",7/5/2015
"Meet the Press Transcript - June 28, 2015",6/28/2015
"Meet the Press Transcript - June 21, 2015",6/21/2015
"Meet the Press Transcript - June 14, 2015",6/14/2015
"Meet the Press Transcript - May 31, 2015",5/31/2015
"Meet the Press Transcript - May 17, 2015",5/17/2015
"Meet the Press Transcript - May 10, 2015",5/10/2015
"Meet the Press Transcript - May 3, 2015",5/3/2015
"Meet the Press Transcript - April 26, 2015",4/26/2015
"Meet the Press Transcript - April 19, 2015",4/19/2015
"Meet the Press Transcript - April 12, 2015",4/12/2015
"Meet the Press Transcript - March 29, 2015",3/29/2015
"Meet the Press Transcript - March 22, 2015",3/22/2015
