speakers,clean_name,race,job,party,gender
ACHMED RASHIDI,Ahmed Rashidi,middle eastern,sme,na,male
ADEL AL JUBEIR,Adel Al Jubeir,middle eastern,foreign ambassador,na,male
ADM MIKE MULLEN,Mike Mullen,white,military,na,male
ADMIRAL MIKE MULLEN,Mike Mullen,white,military,na,male
AHMED RASHIDI ON TAPE,Ahmed Rashidi,middle eastern,sme,na,male
AINSLEY EARHARDT,Ainsley Earhardt,white,pundit,rep,female
ALANA SIMMONS,Alana Simmons,black,pundit,na,female
ALEX JAFFE,Alex Jaffe,white,journalist,na,female
ALFONSO AGUILAR,Alfonso Aguilar,hispanic,activist,rep,male
ALI VITALI,Ali Vitali,white,journalist,na,female
ALICIA GARZA,Alicia Garza,black,activist,dem,female
ALICIA MACHADO,Alicia Machado,hispanic,activist,dem,female
AMB BRETT MCGURK,Brett McGurk,white,ambassador,dem,male
AMY HOLMES,Amy Holmes,black,pundit,rep,female
AMY WALKER,Amy Walter,white,journalist,na,female
AMY WALTER,Amy Walter,white,journalist,na,female
AMY WALTERS,Amy Walters,white,journalist,na,female
ANN COMPTON,Ann Compton,white,journalist,na,female
ANN MCKEE,Ann Mckee,white,sme,na,female
ANNE GEARAN,Anne Gearan,white,journalist,na,female
ARI PERITZ,Ari Peritz,white,pundit,rep,male
ARNOLD REED,Arnold Reed,black,pundit,dem,male
ARSALAN IFTIKHAR,Arsalan Iftikhar,middle eastern,pundit,dem,male
ARTHUR BROOKS,Arthur Brooks,white,pundit,rep,male
ASH CARTER,Ash Carter,white,cabinet secretary,dem,male
ASRA NOMANI,Asra Nomani,middle eastern,journalist,na,female
AUBREY LARKIN,Aubrey Larkin,black,sme,dem,male
AUDIE CORNISH,Audie Cornish,black,journalist,na,female
AUSTIN PETERSEN,Austin Petersen,white,activist,lib,male
AYMAN MOHYELDIN,Ayman Mohyeldin,middle eastern,journalist,na,male
BARBARA McQUADE,Barbara Mcquade,white,administration,dem,female
BEN GINSBERG,Ben Ginsberg,white,pundit,rep,male
BEN SHAPIRO,Ben Shapiro,white,pundit,rep,male
BEVERLY NELSON,Beverly Nelson,white,sme,dem,female
BILL MCINTURFF,Bill Mcinturff,white,pundit,rep,male
BILL MONROE,Bill Monroe,white,journalist,na,male
BILL NEELY,Bill Neely,white,journalist,na,male
BISHOP TD JAKES,TD Jakes,black,clergy,na,male
BOB BURLESON,Bob Burleson,white,pundit,rep,male
BOB MICHEL,Bob Michel,white,elected,rep,male
BOB SIMON,Bob Simon,white,journalist,na,male
BOBBY SHRIVER,Bobby Shriver,white,activist,dem,male
BRAD TODD,Brad Todd,white,pundit,rep,male
BRADLEY PODLISKA,Bradley Podliska,white,sme,na,male
BRENDA TENNEY,Brenda Tenney,white,sme,na,female
BRETT KUHN,Brett Kuhn,white,sme,na,male
BRETT MCGURK,Brett Mcgurk,white,ambassador,dem,male
BRETT O<U+0092>DONNELL,Brett O'Donnell,white,pundit,na,male
BRIAN HANSELMAN,Brian Hanselman,white,sme,na,male
CAROL LEE,Carol Lee,white,journalist,na,female
CAROL ROSENBERG,Carol Rosenberg,white,journalist,na,female
CAROLYN RYAN,Carolyn Ryan,white,journalist,na,female
CATHY ENGELBERT,Cathy Engelbert,white,sme,na,female
CATHY LANIER,Cathy Lanier,white,sme,na,female
Chad Griffin,Chad Griffin,white,pundit,dem,male
CHANCELLOR KAYA HENDERSON,Kaya Henderson,black,administration,dem,female
CHARLES BENSON,Charles Benson,white,journalist,na,male
CHARLES RAMSEY,Charles Ramsey,black,sme,dem,male
CHARLIE BLACK,Charlie Black,white,pundit,rep,male
CHRIS CLAYTON,Chris Clayton,white,journalist,na,male
CHRIS LEHANE,Chris Lehane,white,pundit,dem,male
CHRIS RUDDY,Chris Ruddy,white,pundit,rep,male
CHRISTINA KRABLIN,Christina Krablin,white,sme,na,female
CHRISTOPHER CANTWELL,Christopher Cantwell,white,activist,rep,male
CHRISTOPHER HANSEN,Christopher Hansen,white,sme,na,male
CINDY MORRISON,Cindy Morrison,white,sme,rep,female
CLAIRE ATKINSON,Claire Atkinson,white,journalist,na,female
CLIFFORD SLOAN,Clifford Sloan,white,administration,dem,male
CLINT WATTS,Clint Watts,white,pundit,na,male
CRAIG MELVIN,Craig Melvin,black,journalist,na,male
CURLY HAUGLAND,Curly Haugland,white,activist,rep,male
CYNTHIA MCFADDEN,Cynthia Mcfadden,white,journalist,na,female
CYNTHIA MCFADDEN NATURAL SOUND,Cynthia Mcfadden,white,journalist,na,female
D WATKINS,D Watkins,black,pundit,dem,male
DALE BUMPERS,Dale Bumpers,white,elected,dem,male
DALIA MOGAHED,Dalia Mogahed,middle eastern,sme,na,female
DANNY FREEMAN,Danny Freeman,white,journalist,na,male
DARRYL W PERRY,Darryl Perry,white,activist,lib,male
DAVID BOSSIE,David Bossie,white,pundit,rep,male
DAVID BRODY,David Brody,white,pundit,rep,male
DAVID FOLKENFLIK,David Folkenflik,white,journalist,na,male
DAVID MARANISS,David Maraniss,white,journalist,na,male
DAVID MILLIBAND,David Milliband,white,foreign leader,na,male
DAVID MUIR,David Muir,white,journalist,na,male
DEAN BAQUET,Dean Baquet,black,journalist,na,male
DEAN YOUNG,Dean Young,white,pundit,rep,male
DEMAURICE SMITH,Demaurice Smith,black,sme,na,male
DIAMOND REYNOLDS,Diamond Reynolds,black,sme,na,female
Dick Gregory,Dick Gregory,black,activist,dem,male
DOUG JONES,Doug Jones,white,elected,dem,male
DR BEN CARSON,Ben Carson,black,cabinet,rep,male
DR ERIN BOWEN,Erin Bowen,white,sme,na,female
DWAYNE JOHNSON,Dwayne Johnson,black,entertainer,dem,male
ED GILLESPIE,Ed Gillespie,white,pundit,rep,male
ED HENRY,Ed Henry,white,journalist,na,male
EDDIE GLAUDE JR,Eddie Glaude,black,sme,na,male
Eddie Glaude Jr,Eddie Glaude,black,sme,na,male
Edie Windsor,Edie Windsor,white,activist,dem,female
ELIANA JOHNSON,Eliana Johnson,white,journalist,na,female
ELIE WIESEL,Elie Wiesel,white,activist,na,male
ELIJAH CUMMINGS,Elijah Cummings,black,elected,dem,male
ELISABETH BUMILLER,Elisabeth Bumiller,white,journalist,na,female
ELISE JORDAN,Elise Jordan,white,journalist,na,female
ELIZABETH WARREN,Elizabeth Warren,white,elected,dem,female
ELLE REEVE,Elle Reeve,white,journalist,na,female
ELLEN DEGENERES,Ellen Degeneres,white,entertainer,dem,female
ERIC CANTOR,Eric Cantor,white,elected,rep,male
ERIC TRUMP,Eric Trump,white,administration,rep,male
ERICK ERICKSON,Erick Erickson,white,pundit,rep,male
ERICK ERICKSON ON TAPE,Erick Erickson,white,pundit,rep,male
ERNA SOLBERG,Erna Solberg,white,foreign leader,na,female
EUGENE ROBINSON,Eugene Robinson,black,journalist,na,male
Eugene Robinson,Eugene Robinson,black,journalist,na,male
EVAN WOLFSON,Evan Wolfson,white,activist,dem,male
FIRE COMMISSIONER DANIEL NIGRO,Daniel Nigro,white,sme,dem,male
FMR AMB ROBERT FORD,Robert Ford,white,ambassador,na,male
FMR REP J C WATTS,JC Watts,black,elected,rep,male
FRANCOIS HEISBOURG,Francois Heisbourg,white,sme,na,male
FRANK LUTZ,Frank Lutz,white,pundit,rep,male
FRED ARMISEN,Fred Armisen,white,entertainer,dem,male
GABE GUTIERREZ,Gabe Gutierrez,hispanic,journalist,na,male
GARRICK UTLEY,Garrick Utley,white,journalist,na,male
GARRY TRUDEAU,Garry Trudeau,white,foreign leader,na,male
GEORGE PATAKI,George Pataki,white,activist,rep,male
GEORGE STEPHANOPOULOS,George Stephanopoulos,white,journalist,na,male
GEORGE W BUSH,George W Bush,white,elected,rep,male
GEORGE WEIGEL,George Weigel,white,activist,na,male
GEORGE WILL,George Will,white,pundit,rep,male
George Will,George Will,white,pundit,rep,male
GERALD SEIB,Gerald Seib,white,journalist,na,male
GERARD BAKER,Gerard Baker,white,journalist,na,male
Glenn Beck,Glenn Beck,white,pundit,rep,male
GLENN BECK,Glenn Beck,white,pundit,rep,male
GLORIA STEINEM,Gloria Steinem,white,activist,dem,female
GOV ASA HUTCHINSON,Asa Hutchinson,white,elected,rep,male
GOV CHRIS CHRISTIE,Chris Christie,white,elected,rep,male
GOV JEB BUSH,Jeb Bush,white,elected,rep,male
GOV JERRY BROWN,Jerry Brown,white,elected,dem,male
GOV JOHN HICKENLOOPER,John Hickenlooper,white,elected,dem,male
GOV JOHN KASICH,John Kasich,white,elected,rep,male
GOV JOHN KASICH R OH,John Kasich,white,elected,rep,male
GOV KENNETH MAPP I VI,Kenneth Mapp,black,elected,ind,male
GOV MIKE HUCKABEE,Mike Huckabee,white,elected,rep,male
GOV MITT ROMNEY,Mitt Romney,white,elected,rep,male
GOV NIKKI HALEY,Nikki Haley,asian,elected,rep,female
GOV PAT MCCRORY,Pat McCrory,white,elected,rep,male
GOV PAUL LEPAGE,Paul LePage,white,elected,rep,male
GOV RICK PERRY,Rick Perry,white,elected,rep,male
GOV RICK SCOTT,Rick Scott,white,elected,rep,male
GOV SCOTT WALKER,Scott Walker,white,elected,rep,male
GOVERNOR BOBBY JINDAL,Bobby Jindal,indian,elected,rep,male
GOVERNOR GARY JOHNSON,Gary Johnson,white,elected,rep,male
GOVERNOR JERRY BROWN,Jerry Brown,white,elected,dem,male
GOVERNOR JIM JUSTICE,Jim Justice,white,elected,rep,male
GOVERNOR JOHN KASICH,John Kasich,white,elected,rep,male
GREG BOURKE,Greg Bourke,white,activist,dem,male
GREGG POPOVICH,Gregg Popovich,white,activist,dem,male
GRETA VAN SUSTEREN,Greta Van Susteren,white,journalist,na,female
GWEN IFILL,Gwen Ifill,black,journalist,dem,female
H R MCMASTER,HR McMaster,white,administration,rep,male
HAL BOEDEKER,Hal Boedeker,white,journalist,na,male
HALEY BARBOUR,Haley Barbour,white,elected,rep,male
HALLIE JACKSON,Hallie Jackson,white,journalist,na,female
HAMEED DARWEESH,Hameed Darweesh,middle eastern,activist,dem,male
HARRY REID,Harry Reid,white,elected,dem,male
HARRY REID ON TAPE,Harry Reid,white,elected,dem,male
HARRY SMITH,Harry Smith,white,journalist,na,male
HASAN MINHAJ,Hasan Minhaj,middle eastern,entertainer,dem,male
HEATHER,Heather Mcghee,black,activist,dem,female
