speakers,clean_name,race,job,party,gender,pct_scored
<U+200B><U+200B>CHUCK TODD,Chuck Todd,white,journalist,na,male,1
<U+200B><U+200B>SENATOR CHUCK SCHUMER,Chuck Schumer,white,elected,dem,male,1
<U+200B><U+200B>SENATOR MITCH MCCONNELL,Mitch Mcconnell,white,elected,rep,male,1
ACHMED RASHIDI,Achmed Rashidi,,,,,0
ADEL AL JUBEIR,Adel Al Jubeir,,,,,0
ADM MIKE MULLEN,Mike Mullen,white,military,na,male,1
ADMIRAL MIKE MULLEN,Mike Mullen,white,military,na,male,1
AHMED RASHIDI ON TAPE,Ahmed Rashidi,,,,,0
AINSLEY EARHARDT,Ainsley Earhardt,,,,,0
AL CARDENAS,Al Cardenas,hispanic,pundit,rep,male,1
AL GORE,Al Gore,white,elected,dem,male,1
AL GORE ON TAPE,Al Gore,white,elected,dem,male,1
AL SHARPTON,Al Sharpton,black,pundit,dem,male,1
ALANA SIMMONS,Alana Simmons,,,,,0
ALEC BALDWIN,Alec Baldwin,white,entertainer,dem,male,1
ALEC BALDWIN AS DONALD TRUMP,Alec Baldwin,white,entertainer,dem,male,1
ALEX CASTELLANOS,Alex Castellanos,hispanic,pundit,rep,male,1
ALEX JAFFE,Alex Jaffe,,,,,0
ALFONSO AGUILAR,Alfonso Aguilar,,,,,0
ALI VITALI,Ali Vitali,,,,,0
ALICIA GARZA,Alicia Garza,,,,,0
ALICIA MACHADO,Alicia Machado,,,,,0
ALLRED,Gloria Allread,white,activist,dem,female,1
ALMA MEYER,Alma Meyer,,,,,0
AMAL CLOONEY,Amal Clooney,middle eastern,activist,dem,female,1
AMB BRETT MCGURK,Brett McGurk,,,,,0
AMB NIKKI HALEY,Nikki Haley,asian,cabinet,rep,female,1
AMB RON DERMER,Ron Dermer,white,foreign leader,na,male,1
AMBASSADOR ANDREW YOUNG,Andrew Young,black,ambassador,dem,male,1
AMBASSADOR CHRISTOPHER HILL,Christopher Hill,white,ambassador,,male,0.75
AMBASSADOR JAMES JEFFREY,Jim Jeffrey,,ambassador,,male,0.5
AMERICA FERRERA,America Ferrera,,,,,0
AMY HOLMES,Amy Holmes,,,,,0
AMY POEHLER,Amy Poehler,white,entertainer,dem,female,1
AMY SHIRLEY,Amy Shirley,,,,,0
